Nama_Usaha,Alamat_Usaha
nugget pelangi,"JL RE Martadinata Gg Patih RT 25 RW 06 Dabasah, Bondowoso"
Aneka olahan keripik buah-buahan,"Jl. Brigpol sudarlan, desa Petung, Rt 09/ Rw 03"
RINI BEUTY,CINDOGO RT.015 RW.006
UD PUTRA MAHARDIJA JAYA,"Desa Koncer Kidul No. 99 RT, 030 RW.011 "
CATERING PUTRI,JLN. BRIGPOL SUDARLAN RT 002 / RW 001
A12,desa pejaten Rt.15 Rw.3
UD BORNEO,BRIGPOL SUDARLAN RT 13 RW 04
,BRIGPOL SUDARLAN RT 13 RW 04 
Servic sadel,Desa Wonosari
Konter pulsa dan paket data,Jln jendpol Sucipto Yudhodiharjo 
OPTIK  RIZKY,JLN AIP MOEGIMAN 
Sumber Rezeki,Desa alassumur RT 007 RW 003
Rumah Jahit Lestari,Dusun Kampung Tengah RT 04/ RW 02 Mesan Bondowoso
RienShop,jl. aip meogiman no. 41 RT. 13 RW. 05
,jl. aip moegiman no 41 RT. 13 RW.05
Penjual pop es,JL.R.A KARTINI
Jual Pulsa,Jl.Brigpol Sudarlan RT.05/RW.02
TOKO TIARA,JL LETJEN S. PARMAN RT.03 RW.01 
RANY BAKERY,Dusun Gadingan RT 11/ RW 04 Desa Gunungsari Maesan Bondowoso
Konter,"Alamat Usaha : Jl. Diponegoro No.246, Silokambang, Kotakulon, Kec. Bondowoso, Kabupaten Bondowoso, Jawa Timur 68219

Alamat KTP : Desa Kembangan RT 04/RW 01, Kembangan, Binakal, Bondowoso, Jawa Timur"
WAROENG RIRIN,Jetis RT 015 RW 007
KEDAI BAROKAH,JL. MAYJEN PANJAITAN Rt. 004 Rww. 001
jahit,selolembu rt 01/01
GORENGAN B RIRIN,DESA WONOSUKO RT. 023 RW 005
NIA COLEKTION,Wonosuko tamanan rt/rw 01/01
Perdagangan,Pasar wringin 
BAKSO LARIS,"Pucanganom, jambesari darus sholah"
Snack Bidaran Manis,Jl. Saliwiryo Pranowo RT. 06 RW. 02 Kelurahan Kotakulon Kabupaten Bondowoso 
ALVARO CELL,Krajan Baru RT 01 RW 01 Gununganyar Tapen Bondowoso
Perdagangan Kue ,Dusun Paleran RT. 005/002
TOKO BAROKAH,KERANG RT.007 RW.004
MASKER KOPIKU,jl. karimata gang masjid III kecamatan sumbersari kabupaten jember
PENJUAL AYAM,JL. PERIKANAN RT.19 RW.07
PERDAGANGAN,Desa Pakuwesi RT.3 RW.1
"UD ""RISKA MOBIL""",DUSUN SOKLAK RT.002 RW.001 
,DUSUN SOKLAK RT.002 RW.001
Sosis Goreng,Diponegoro Rt 21 Rw 07 Kelurahan Kotakulon Kecamatan Bondowoso
Riska Salon,Jl. Diponegoro RT/RW 025/005
FATHIHTOUR WISATA ,JL. SALIWIRYO PRANOWO PSP20 RT 33/02 KOTAKULON BONDOWOSO 68213
Pertanian Padi,Desa prajekan lor kecamatan prajekan kabupaten bondowoso 68285
Penjahit,Desa pejaten rt 13 rw 03
Kerajinan rak bunga besi dan anyaman rotan sintetis,"Dusun Widoro, RT /RW : 26/10"
NURIZKI,"Jl. Tamanan RT 03 RW 01 Dusun Pasar - Sumbersari, Timur Kantor Pos Maesan - Bondowoso 68262"
TOKO RISKY JAYA,Desa sumbergading rt 02 rw.01 kec.sumberwringin kab bondowoso
Toko Riski,RT. 005 RW. 002
Jamu Tradisional,Kembang Rt 03 Rw 01
Riskianti Collection,Mesin Jahit
Es Aneka Rasa,JL. S PARMAN. DEPAN 514 LAMA
ES RISQI,Prajekan Kidul Rt. 006 Rw. 011
PENJUAL ES ROMBONG,MANDIRO RT. 616 RW.05
toko peracangan,dusun sundang 1 desa botolinggo kecamatan botolinggo kabupaten bondowoso
"WARUNG "" DEK ELA """,Jl. Raya Wonosari RT 004 RW 001 Desa Jebung Lor
RIZ HONEY,JL DESA PONCOGATI RT13 RW 03
MIKAKU babies and accessories,cangkring rt/rw 18/006
pertanian,Jetis Rt 15 rw 07
warung makan ibu fathor,Gunosari
UD. RIZKY JAYA MAKMUR,Jl. Brigpol Sudarlan no. 266
LIEN HIJAB,jln.raya tamanan - bondowoso
Andi sumpret,"Dusun loji rt 18 rw 05, kecamatan prajekan kabupaten bondowoso"
KOPERASI P2TEL,Jln Let Sudiono 2 Bondowoso
SOSIS RITA,BATAAN RT.009/003
JUAL SEMBAKO,DUSUN KIDUL SAWAH TIMUR 24/05
TOKO RITA,KRAJAN RT 04 RW 01
Jual es,Jln Diponegoro rt25 RW 05 bondowoso
WARUNG GORENGAN RIDHO,dusun krajan rt 001 rw 001 koncer kidul tenggarang bondowoso
PEDAGANG,Alas Sumur
kerajinan bambu,dsn salak rt 06/04
SEMBAKO MURAH,Jl. Mayjen Panjaitan Rt. 004 Rw. 001 
TOKO BAROKAH,KONCER DARUL AMAN RT.007/004
ANEKA GORENGAN,DUSUN KRAJAN RT 31 RW 09 TENGGARANG
RA Farm,Jl. Brigjen Katamso No. 89
RA Phone,JL. MT Haryono Gg. Aji No. 5
DELLA TOKO,Pasar Induk Wonosari
perdagangan,sumber malang rt 07 rw 02
AYESHA BOUTIQUE,JL LETNAN SUTARMAN NO.10  KEL. KOTA KULON KAB. BONDOWOSO 
RIPS.ID,"Gg Asempentol, Kotakulon, Bondowoso"
RIZA BOOM,"Dusun krajan II, Rt: 004 RW: 002"
TOKO ANUGRAH,JALAN MAESAN NO 14 RT 33 RW 08 DUSUN GLINTONGAN DESA TAMANAN KECAMATAN TAMANAN KABUPATEN BONDOWOSO PROPINSI JAWA TIMUR
PERDANGAN , DUSUN AMPELAN RT 10 RW 05 DESA SUKOKERTO KECAMATAN PUJER KABUPATEN BONDOWOSO
Rizal fam,jl.bendung sampean baru
Zals Frozen Food,"Jl. A.Yani I/71 RT 5 RW 1 Kelurahan Dabasah, Kab Bondowoso, Jawa Timur"
Mimi catering,PEJATEN
SELERA MAMA,JL. Besuki RT 02/RW 01 dusun Poler
PERCETAKAN KARUNIA,"JL. KHAIRIL ANWAR GG PALM 1
RT. 033 / RW. 001"
RIZQY TAILOR,Grujugan Kidul rt 18 rw 03 kecamatan grujugan kabupaten bondowoso
DJAMU KUNYIT ASAM,PERUM PBI BLOK L 12 RT.016 RW.005
DJAMU KUNYIT ASAM ,PERUM PBI BLOK L 12 RT.016 RW. 005
Maghfiroh ,"Jl. A. Yani Gg. Kejaksaan Rt. 11 Rw. 03, Nangkaan Bondowoso "
Nur-a Coffee Bondowoso,Jl. A. Yani Gg. Kejaksaan Rt. 11 Rw. 03 Nangkaan 
PENJUAL BUAH,DUSUN KRAJAN RT.19 RW.03
KONTER,Jl. jember Desa Taman  RT.068 RW.002 ( RAUNG CELL - Raung Outdoor ) -
ANGKUTAN,jl. piere tendean rt 022 rw 004
TOKO RISQI,Dusun Krajan RT 01 RW 01
pedagang ecer,desa grujugan kidul
Dwi Online Shop,Dusun Krajan RT.010 RW.001
""" RENDI BAKERI """,Desa Sukosari Lor RT.028 RW.012
PERTANIAN,JETIS RT 03 RW 01
UD. BARU,RT. 007 RW. 003 
R. AZIZ,"Taman RT/RW 061/007, Taman, Grujugan"
pertanian,Desa Tumpeng RT.05 RW.02
Budidaya jamur ,"Jl. Sumbersata no 1, taman"
Peternakan,Dusun sumber madu rt 07 rw 04 desa sukoker kecamatan pujer
perdagangan,jl. KH. agus salim 12/ estu
Toko hilma,Desa sulek rt 07 rw 03 kec tlogosari kab bondowoso
PEDAGANG,DUSUN KRAJAN RT/RW 007/003
Kanza Shop,Desa Maskuning Wetan RT 19 RW 04 
Toko pulsa ,Jl. Aip moegiman Koncer kidul
TOKO PRACANGAN,"Bataan, Rt.23 Rw.07 kecamatan Tenggarang"
Tani,Pucanganom - Jambesari DS - Bondowoso 
INTI KOPI,Desa Andungsari  rt 02. Rw 01 kecamatan pakem Kabupaten bondowoso 
""" KEKE OL SHOP ""","Desa Sukosari Lor RT.008 RW,004"
Toko Rofilin Store,Prajekan Lor RT. 02 RW. 07 Kec. Prajekan Kab. Bondowoso
TOKO DEWI,DUSUN KRAMAT JATI RT. 07 RW. 03
SAWAH,TAMAN RT030 RW010
BEJO OLSHOP,Dawuhan RT/RW 02/01 Tenggarang Bondowoso
TOKO ROFITA,MENGOK RT.027 RW.008
WARUNG KOPI,TENGGARANG RT 16 RW 6
UB RIZAL,"DN KRAJAN RT 01,RW 01 DESA SUKOSARI KECAMATAN TAMANAN"
PENJUAL SAYUR KELILING,DUSUN KRAJAN RT.17 RW.03
SEDERH-ANA,jl situbondo tenggarang. rt2 rw1
BENS MEDIA INTERNET,MENGOK RT/RW 029/009 
Shoopeetre,Diponegoro GG Malabar Rt 20 Rw 07 Bondowoso
WARUNG KOPI,JEMBATAN KIRONGGO
PRACANGAN ,KLABANG RT.06 RW.02
UD RIAN JAYA,Desa Kajar kecamtan Tenggarang
Bakso Netizen,Jl. Jend. Po. Sucipto Yudodiharjo Rt. 30/07
TOKO B. BAGOS,BASEAN RT 08 RW.02
Daging Ayam dan Mie Seblak Roidah,"Grujugan Kidul, RT. 21 RW. 04"
TOKO ROLISTA,Bendoarum RT 09 RW 04
Sumpia,Desa Mrawan dusun taman RT 010 RW 004 tapen Bondowoso
LUCKY MOTOR,Jl. KH. Ali Djoefri no. 02 RT. 005 RW. 001 
perdagangan,bukor
U.D Cahaya Rejeki,"DSN JATIREJO PS-154 RT. 002, RW. 001"
IDAM UKIR,SUMBERCANTING
ISTANA MOBIL,"jl.raya situbondo,sebelah koramil tenggarang "
TOKO MAKASAR,JL. TEUKU UMAR NO. 38
Roni laundry,Jl.Diponogoro GG.malabar  RT 21 RW 07 kotakulon Bondowoso
SUMBER NIKMAT,MASKUNING WETAN RT. 014 RW. 003
WIJAYA MEDIA,Jalan raya Wonosari 172 
KEDAI MIE DAN GORENGAN,JL. MT HARYONO
"""ROND ENTERTAINMENT""",Jl.Kh.Ali Gang 03 PDAM Kelurahan Sekarputih
RONY MOTOR,MENGOK RT.005 RW.002
TOKO HIDUP BARU,Desa Pakisan RT.001 RW.001
DEPO AIR MINUM ISI ULANG,"JL.A.Yani
RT.018 RW 004 Kelurahan Dabasah
Kecamatan Bondowoso Kabupaten Bondowoso"
Penjual Bakso,Taal RT 008 RW 003
Dimsum Ayam Wortel Kulit Telur Dadar,Perum Kembang Permai Blok BB No.28
ROSE MEBEL,Desa Karang Sengon RT. 005 RW. 002 Kecamatan Klabang Kabupaten Bondowoso
Rosidah all shop,"jl. jambesari, Dusun gabugan"
Pertanian Sumber Lestari,Jl. Kamboja Dusun Jasaba RT/RW 025/008 Desa Tapen Kec. Tapen
UD Jaya Mebel,RT 021 RW 004
Penjahit,Jl. RA. Kartini Blindungan Bondowoso
HOTEL BARU  ,Jalan Kartini No.26 
JASA HOME SERVICE PERAWATAN KECANTIKAN,JL. PB Sudirman No.46 RT/RW 20/05 Gg.Taitong Blindungan Bondowoso
MINUMAN TRADISIONAL,Jl. PB SUDIRMAN No.46 RT/RW 20/05 Gg.Taitong Blindungan Bondowoso
Ikan Hias,"Dusun Krajan, RT/RW 06/02"
River Side Custom Garage ,Desa mandiro rt 008 rw 002 kecamatan tegalampel bondowoso
SANTOSO JAYA,JL. KH WAHID HASYIM NO. 35
,JL. KH. WAHID HASYIM NO. 35
Pembibitan,Sumber Salak rt01 rw01
Alzam konfeksi,Jl. K.H Agus salim 36 rt 8/ rw 3 blindungan
Endang Jaya,Kironggo 26 rt033 rw 002
Jual Sandal,Jl. Teuku Umar Pasar Induk Bondowoso 
Pengelasan kreatif,"Krajan lama 2, RT 16, RW 07"
ruby,krajan utarart 01/04
TK. PGRI 3 BINAKAL,Jalan Raya Besuki 
Kulir,Desa Sumber Salak
Jual beli palawija,Pengarang
Pertanian,Desa locare kecamatan curahdami kabupaten Bondowoso
Pedagang kaki lima,"Alun-alun bondowoso kel. Dabasah, kec. Bondowoso, kab. Bondowoso, prov. Jatim"
"UD ""MAKMUR JAYA""",DUSUN KRAJAN RT.24 RW.08
ternak,"dusun sora
rt/rw 009/003
besuk
kelabang"
MARLENGGANG,jalan dusun krajan RT00 RW 002 Desa grujukan lor
UD YULI,SUMBERSUKO RT.014 RW.001
Pedagang,DUSUN PASAR RT.03 RW.1
RUDI AYAM,SEKARPUTIH RT.013 RW.004 DESA.SEKARPUTIH KEC.TEGALAMPEL
UD Tembakau Kayu Mas,"Dusun Kota, RT. 020, RW. 011, Des. Cermee, Kec. Cermee, Kab. Bondowoso, Jawa Timur, Indonesia"
Jamu,Bendelan kilometer 9
DEWI ALAM JAYA,DESA JURANGSAPI Rt.044 Rw.014 Kecamatan Tapen KABUPATEN BONDOWOSO
TOSERBA SENANG,Desa Kapuran RT.001 RW.001
RUKHUS DIGITAL,"Perum Kembang Permai D 7, RT 030 RW 010"
KRIPIK RUDI,JL. A. YANI ARTHA KARYA II/23A
UD RUDI JAYA FARM,MASKUNING WETAN RT 011 RW 002
,MASKUNING WETAN RT 011 W 002
WARUNG BAKWAN PAK IDA,Jl. Zainul Arifin No. 21 RT 013 RW 002 Kelurahan Badean
kripik singkong,"jl perum sekarputih indah,rt.03/rw.01,kelurahan sekarputih,kecamatan tegalampel kabupaten bondowoso"
Pembuatan besek ikan,Dusun penanggungan rt/rw 008/005
BAKSO CAK RUDI,Jl. Letjend Panjaitan 
TOKO EKA JAYA,JL. KH. WAHID HASYIM 5.RT 003/RW 0001
TOKO SUTERA MAS,JL. KH. WAHID HASYIM RUKO 36-37
PENJUAL SAYUR KELILING,KRAJAN 2 RT.11 RW.02
Peternakan Maulana,Pelita GG Sumber
UD RAKYAT,JALAN TEUKU UMAR 
PITSTOP,JL. KIS MANGUNSARKORO 53
UD SUMBER BARU,Jl. Kis Mangunsarkoro III
""" DUA PUTRA """,Desa Kerang Rt.017 Rw.008 Dusun Plasaan
TOKO RUDY,PRAJEKAN LOR RT.002 RW.009
ARETHA CELL,Tlogosari Rt 11 Rw 03
WIRASHOP,Jl. HOS. Cokroaminoto RT.024 RW.004
industri makanan (catering),"Jln. Mastrip no.04, Rt 014/Rw004,Sukowiryo, Bondowoso"
RM VERDINA,"JL RAYA SITUBONDO RT 13,RW 05 KEL TENGGARANG KECAMATAN TENGGARANG"
IBTASIM,Dusun Tengginah RT 11 RW 04
UD SABINA  JAYA,DESA DAWUHAN RT.002 RW.001
warung sayur bu rukiyati,Jln Brigjen Katamso RT 07 RW 02
pertanian,Jetis Rt 02 Rw 01
PRACANGAN,PASAREJO RT.08 RW.01
JUAL MAKANAN DAN MINUMAN,KRAJAN I RT.05 RW.01
reyeng,desa klabang 10/04 
Warung Barokah,Poncogati rt 11/rw 03 Poncogati Curahdami
TOKO KELONTONG,DUSUN DAWUHAN RT 21 RW 02JAW
Jual Es Jus,RT 11 RW 05
PRACANGAN ,MANDIRO 16/06 
Toko Rezeki,Pejaten RT 007 RW 001
TOKO KELONTONG,Dusun wangkal RT 14 RW 4
BAROKAH JAYA,Dusun Andung RT15 RW06
TAPE MANIS 09,pal 16 rt. 07 rw. 06
ANEKA KUE BU RUKYATI,kasemek RT.019 RW 010 
Ijen koi shop,"Mayjen panjaitan,rt.01, rw.01"
TOKO SINAR,DESA CERMEE RT.20 RW.- 
DAGANG PRACANGAN,KLAMPOKAN RT 2 RW 1
Warung Nasi Bu Anis,Desa Pejaten Rt 14 Rw 03
ADITA CAKE,DESA JATITAMBAN RT/RW 01/01
Pencetakan bata,Sumber jeruk
PENJAHIT ROBI'ATUL,PEKALANGAN RT.021 RW.004 
PRACANGAN ,DESA KLABANG RT.07 RW.02
Batu Koral,DIPONEGORO GG. MALABAR
perdangan,Desa Jetis RT.13 RW.08
TOKO ASEP PLASTIK,A.YANI GG PERINTIS RT.028 RW.004
RUMY BAKERY,Desa Gambangan RT 14/ RW 03 Maesan Bondowoso
TOKO RUMYATI,SUKOKERTO RT. 014/006
Pertanian,Ampelan
JUAL OBAT PETANI,KLABANG RT.01 RW.01
JUAL BIBIT TANI DAN TEMBAKAU,SUMBERSALAM RT.08 RW.04
TOKO RUSIANA,LOJAJAR RT 02 RW 01
"TOKO "" SEMBAKO JAYA """,Dusun Krajan RT 014 RW 001
pedagang makanan dan minuman,Jl. KH. Agus SalimNo.8  Blindungan Bondowoso
CILOK PEDAS,Dusun Sletreng RT 004 RW 002
OLAHAN RUMAH,krajan desa sumber jeruk rt07 rw 02 jambesari DS Bondowoso
UD. CAKRA,Desa Taal RT 004 RW 002
Catering,Desa walidono rt.001 rw.001
Penggilingan kopi,Pasar induk bondowososo
JUAL CILOK,BATAAN RT.31 RW.09
SEWA KAMAR KOS,Hos cokro aminoto 20A RT 024/ RW 004 Kademangan Bondowoso
PEDAGANG ,DUSUN KRAJA RT/RW 001/001
UD. NASYA,Jl. Raden Paku No 79 Dusun Krajan Rt 04 Rw 01 
JUAL GORENGAN,DESA PAKUNIRAN RT.04 RW.01
Warung klontong,Pasar wringin
JUAL PAKAIAN BEKAS,MANDIRO RT.03 RW.01
Besek ikan,Dusun Krajan Curahpoh RT 06 RW  01
toko,tamanan
Jamu Tradisional Bina Sehat,Sulek Rt 06 rw 03
Brand Kaos (Clothing) Desain Percetakan,Bunder Krajan RT 05/ RW 02 Pancoran Bondowoso
UD TIRTA MAS,DESA RAMBAN WETAN RT.005 RW.002
Toko Bismillah,jln.Brigjend Katamso rt11 rw 05
ES OYEN AYU,Prajekan Kidul RT.004 RW.010
MITRA JAMUR BONDOWOSO,Desa sumber anyar kecamatan jambesari kab. bondowoso jawa timur
mebeler,Desa Taman Rt 48 Rw 06
"TAPE MANIS ""999"" IBU TITIN",Desa Kerang Rt.003/Rw.002
Perdagangan buah,Petung RT 2 RW 1 kecamatan Curahdami
meubel,"alamat usaha pejaten sumber ayu bondowoso 
alamat domisili pejaten bondowoso"
meubel ,"alamat usaha pejaten bondowoso 
alamat tinggal Brawijaya gang merpati 
alamat domisili pejaten sumber ayu rt 10 rw 02"
Java Cendol (Es Dawet Sagu),Dusun Kalianyar Barat
JUAL SAYUR KELILING,MANDIRO RT.02 RW.01
ZAHROH JAYA,DSN. BELEDDAN
BENKEL,TENGGARANG RT 024 RW 008
"TOKO "" RIZKI """,Dusun Lumbung RT 003 RW 002
YAHALA COFFEE,IMAM BONJOL GG. 1 NO.59 RT.013 RW.003 KADEMANGAN
PENJUAL KUE,GRUJUGAN LOR RT.01 RW.01
kerajinan kayu,kidul sawah timur rt 27 rw 06
JUAL BATU BATA,DUSUN KARANG TIMUR RT..23 RW.05
PANGKAS RAMBUT JOKER,SULEK RT 7 RW 3
TOKO,DESA SULEK RT 07 RW 03
PANGKALAN ECERAN GAS LPG 3 KG ,DUSUN CANGKRING RT 020 / RW 005
UD SAEFUR,Dusun Cangkring 2. Rt.20/05. Desa Sucolor. Kecamatan Maesan. Kabupaten Bondowoso
Pedagang ,Sekarputih rt1 7/rw 05 tegalampel
Penjualan bibit cabe,Desa kembang rt 4 rw 2 kembang bondowoso
KERUPUK ENAK,Jl.pakisan desa pekalangan rt 21 rw 04
UD. LIMOUSIN GROUP,Tanah Wulan Rt. 010 Rw. 002
Pracangan,"SUCO LOR, MAESAN, BONDOWOSO"
UD. KARYA MURNI,DESA SUMBER ANOM
Kerajinan bambu,Dusun tegal tengah 
Saerasi_Barokah,"Dusun Karang Tengah, RT 022 RW 003"
mebel,dusun jasaba rt 25 rw 07
Kopi bubuk,Desa Kajar Rt03 rw 01
UD SUMBER BAROKAH,SUKOSARI LOR RT.020 RW.009
SAFIA CATERING,selolembu rt 03/01
pedagang keliling,selolembu 05/02
Mebel mehar,Desa petung RT 02 RW 01 Curahdami Bondowoso
SAKURA BABY SPA,"Perum Artha Karya 2 RT 007 RW 003 Nangkaan, Bondowoso 68215"
newproject,jalan jendpol sucipto yudodiharjo
TOKO SETIAWAN,"Desa Tangsil Kulon, Rt.9 Rw.3 Kecamatan Tenggarang"
TOKO ALIF JAYA,Dusun Gabugan Desa Jambesari Kecamatan Jambesari Darus Sholah
UD SUMBER REZEKI,MASKUNING WETAN RT.005 RW.001
TOKO SAHAMI,TAMAN RT.009/002
PERDAGANGAN,JETIS RT 17 RW 08
PENJAHIT SAHARI,KASEMEK RT.016/006
FAIS PUTRA MEBEL,"CERMEE RT:018, RW : 000"
UD ABDULLAH PETUNG,BARAT CURAH RT 08 RW 04
PERTANIAN,curahdami rt04/01
""" TB. ANEKA JAYA """,Desa Tlogosari Rt.014 Rw.004
UD BERKAH,Desa Rejoagung dusun Tol tol Barat Rt 033 Rw 007 Kecamatan SumberWringin
Persewaan Dekor,KONCER DARUL AMAN RT/RW 003/002
Toko Fiola,Dusun Krajan 1 Desa Gambangan Rt 03 Rw 01 Pasar Maesan
MITRA USAHA,Desa Patemon Rt. 01 Rw.01
PERACANGAN,JATITAMBAN RT/RW 01/01 
TOKO BAROKAH,Desa Gadingsari RT.16 RW.04
WARUNG BUK ADI,Dusun Krajan RT 013 TW 001
UD ANEKA DEKORASI,DESA JEBUNG LOR RT.022 RW.003
PERTERNAKAN,DSN KRAJAN
Pedagang ayam keliling,Selolembu RT 06 RW 02
BUMDES JAYA ABADI,Jebung lor RT.004 / RW.001
SAHNUR JAYA,JALAN RAYA DUSUN KEMIRIAN UTARA DESA WONOKUSUMO
toko pracangan,tlogosari rt 09 rw 03
PRACANGAN ,KLAMPOKAN RT.08 RW.02
MEBEL BAROKAH,"DUSUN TAMANAN TIMUR, RT/RW : 014/003"
TOKO ADELIA,DESA BANDILAN RT.001 RW.001
toko peracangan,botolinggo desa botolinggo kecamatan botolinggo kabupaten bondowoso
Toko puteri jaya,Pasar tenggarang rt 012 rw 004
SHOWROOM TERMINAL MOBIL 2,"Jl. Kis Mangunsarkoro, Selatan Pom Bensi Tamansari "
TOKO SAID,"JL SUPRIADI NO.06 RT 7,RW 2 KELURAHAN KADEMANGAN KECAMATAN BONDOWOSO"
TOKO B. MUTIK,BASEAN RT.08 RW.02 DESA PAKUWESI
PENJUAL JAMU KELILING,TENGGARANG RT 8 RW 2
PENJUAL ES,DESA LEPRAK RT 06 RW 01
Toko sembako,Jurang sapi RT 018 RW 006
UD FAKHIRA,TRAKTAKAN RT.008 RW.003
MARSHA FROZEN FOODS,BUNDER KRAJAN RT.002 RW.001
BAROKAH,Desa Gayam RT 003 RW 007
UD PUTRA SEJATI,Sukodono Rt. 008 Rw. 001
KERIPIK TEMPE WAHYU,KENANGA RT.030 RW.005 GRUJUGAN 
TOKO AMINATA (KOPERASI BERINGIN),Jl.Raya Wringin Komplek Pertokoan Kavling 3
"BENGKEL ""BANYU URIP""",Dusun Krajan RT 30 RW 09
PENJUAL SAYUR KELILING,GRUJUGAN LOR RT.09 RW.02
Es Campur ,Dusun Krajan Rt 02 Rw 01 Desa Penanggungan Kecamatan Maesan
TOKO PUTRA,NOGOSARI
TOKO UMMI,PEKALANGAN RT.013 RW.002
TOKO LISTRIK SAIFUL,KONCER KIDUL RT.014/006
JUAL BAKWAN,MANDIRO RT.16 RW.06
"""TOKO SABAR""",Desa Pecalongan Rt.005 Rw.001
POO LAS ;ISTRIK,Patemon kec.PAKEM
Tani,Dsn.Sumber Tengah Desa Sumber Anom
Toko Barokah,Taman Rt.33 Rw.04 
SPL Audio ,Dusun Mengen Utara Rt.21 Rw.06 Desa Mengen Kecamatan Tamanan Kabupaten Bondowoso
cutting stiker,Desa Prajekan Kidul RT 03/RW 14
"PAPEDA CILUNG ""BAHRI"" ",DUSUN BANGSAL RT.015 RW.008
Warung Es Buah,"Jl. Jaksa Agung Suprapto, nangkaan, Dabasah"
,Desa Sumber Sari Rt.06/02 Kecamatan Maesan. Kabupaten Bondowoso
Saiful Kaos Kaki,"Sumber Salam I, Rt.12 Rw.04"
Jaya abadi,Kapuran rt.005 rw.002
UD VANATIK,JALAN DESA MASKUNING KULON
Warung Saiful,"Dusun Lor Sawah RT. 003 RW. 001, Grujugan Lor , Jambesari Darus Sholah - Bondowoso"
PERTANIAN,DESA MRAWAN KECAMATAN TAPEN
BERSATU,Wonokerto RT/RW 004/001
Petani,Petung rt/rw : 02/01
Elsatria usus krispy,Pecalongan Krajan Rt 5 RW 1
LATANZA,KASEMEK RT.011 RW.006
UD. TEKUN JAYA,Dusun Kebun Karang RT. 029/009
,Dusun Kebun Karang RT. 029 / 009
UD EL SHEHA JAYA,PEKALANGAN RT.17 RW.03
UD SMK AL IMAM,Jl. KH Imamuddin No. 14 RT. 019 RW. 006
UD PUTRA ABADI,DESA WRINGIN RT.002 RW.011
Toko Sembako,"Desa Besuk, RT.9/RW.3 Klabang Bondowoso"
jual batu bata,jebung lor rt o14 tw 001
TOKO JAYA SUMBER REZEKI,DESA ARDISAENG RT.005 RW.002
TOKO. BAROKAH,Desa Lojajar RT. 003 RW. 002
,Desa Lojajar RT. 003 RW0 002
UD HASIL DAUN,DESA GUNUNGSARI RT.006 RW.002
RIZKI CELL,"Dusun Krajan II, Rt.08/02, Desa Sumber Sari, Kecamatan Maesan, Kabupaten Bondowoso."
Percetakan & Foto Copy,Blimbing RT 07 / RW 02
Ternak ayam,"Dsn. Barat curah RT 07 RW 03
DS. Petung kec. PAKEM"
UD AUREL JAYA,DESA AMPELAN
SAIFULLAH JAYA,"Dsn. Salak RT/RW. 006/003, Taal, Tapen"
TOKO GADING,DESA CINDOGO RT.020 RW.009
perdagangan,jetis Rt 08 Rw 03
Koin emas,Sukowono pujer 
MALIKA PRINTING,Tegalmijin RT.001 RW.001
BUMDES SUBUR ABADI,Pasar Kita
PEDAGANG BURUNG,DESA LUMUTAN RT 04 RW 03
BUDIDAYA IKAN LELE,Desa Pancoran RT. 18 RW. 07 Bondowoso
Keripik Pisang,Jebung Kidul RT. 19/ RW. 04
CILOK,selolembu rt 006/rw 002
UD ARG TANI,SUMBER SALAM RT 13 RW 04
ABM Store,Jl. KH. Wahid Hasyim
KOPONTREN ADZ DZAKIRIN,desa karang melok Rt.003 Rw.002 dusun nasar 
,desa karang melok Rt.003 Rw.002 Dusun nasar
SUKARNI SUKSES,SOKODONO RT. 007 RW.003
""" BAKSO BU AN """,Desa Kerang RT.013 RW.007
WARUNG BAROKAH,"Kajar, Rt.05 Rw.02 Kecamatan Tenggarang"
Perdagangan,Pelalangan rt 019/008
KERAJINAN BAMBU,curahpoh rt 07/02
PRACANGAN SEMBAKO,"Dusun Nasar RT,006 RW. 002"
tani,KONCER MALANG II
Warung Susanti,Jl. Raya Situbondo-Bondowoso sampean baru
perdagangan,dusun sempol rt 06 rw 02
Wr. Nasi B. HER,Pasar Bondowoso
"""BINTANG LIMA""",Dusun Krajan 3 Rt 014 Rw 003 Desa Gambangan
"Reparasi Arloji, Jam dan Elektronika",Jalan Imam Bonjol I No. 513 Kademangan Bondowoso
UD SALAM SEJATI,Sumber Wringin RT 19 RW 05
BENGKEL SALIM,"Pakem, RT 005/ RW 002, Kel. Pakem, Kec. Pakem, Bondowoso"
Kue kering,Dusun Widoro RT 26 RW 10 desa Pancoran
Zahra Parfume,Jl. HOS. Cokroaminoto 74 RT.024 RW.004
WARUNG SAYUR BU AR,"Jl. Stasiun Prajekan, Dsn. Grundo RT.004 RW.013"
LAPAK BAROKAH BONDOWOSO,Dusun Kidul Sawah Barat Rt. 030 Rw. 007
GREENFLORIST,Jalan Raya Gunung Raung Dusun Krajan I RT. 001 RW. 001
sol sepatu,jl.kawah ijen.gunung anyar
IKAN AYAM,Dusun gadingan
TAILOR SAMAD,KLABANG RT  013 RW 006
PENJUAL PADI,DUSUN KRAJAN  RT.05 RW.01
UD BINTANG SEMBILAN,Petung RT 09 RW 04 Kec.Pakem Bondowoso
peternakan,sumber tengah rt.02 rw.01
GYPSUM CAK DIE,KASEMEK RT.020 /010
UD BAROKAH,NOGOSARI RT 02 RW 01 SUKOSARI
perdagangan,jetis rt 03 Rw 01
